,Gender,Age,Debt,YearsEmployed,PriorDefault,Employed,DriversLicense,Citizen,ZipCode,Approved,Income,CreditScore,Married,BankCustomer,Job,Ethnicity
131,1,22.17,15.67,1.511,1,0,0,ByBirth,260,0,35,0,1,1,6,White
132,1,57.72,0.851,0.0,0,0,0,ByBirth,320,0,21,0,0,0,4,White
133,1,18.84,3.151,4.988,0,0,1,Temporary,100,0,78,0,1,1,10,White
134,0,26.71,2.994,0.0,0,0,0,ByBirth,0,0,0,0,1,1,11,White
135,0,16.79,1.202,4.811,0,0,1,ByBirth,144,0,7,0,1,1,7,Black
136,1,33.17,18.228,0.463,1,0,1,ByBirth,176,0,3982,0,1,1,10,White
137,1,27.1,0.885,0.0,0,0,0,ByBirth,120,0,0,0,0,1,5,Black
138,1,15.17,16.373,0.0,1,0,1,Temporary,260,0,0,0,1,1,13,White
139,1,31.66,3.619,0.0,0,0,0,ByBirth,0,0,901,0,1,1,7,White
140,1,33.33,7.316,8.247,0,0,0,ByBirth,232,0,181,3,1,1,6,White
141,1,19.18,2.632,0.0,0,1,1,ByBirth,180,0,150,0,0,1,5,Black
142,0,21.21,16.257,6.744,0,0,1,ByBirth,280,0,24,0,0,1,5,Asian
143,0,19.02,0.862,0.0,0,0,1,ByBirth,360,0,0,0,1,1,9,White
144,0,16.9,1.934,0.0,0,0,1,ByBirth,329,0,96,0,1,0,4,White
145,1,33.5,3.326,0.527,0,0,0,ByBirth,130,0,307,0,0,0,6,Black
146,1,51.37,7.681,0.0,0,0,0,ByBirth,160,0,145,0,0,1,6,Other
147,0,49.59,1.936,0.0,0,0,0,ByOtherMeans,550,0,428,2,1,1,7,White
148,1,21.46,13.828,0.0,0,0,0,ByBirth,120,0,73,0,1,1,4,White
149,0,15.17,5.589,0.537,0,1,1,ByOtherMeans,160,0,0,0,0,1,12,White
150,0,20.98,1.579,2.641,0,0,1,ByBirth,0,0,132,0,0,1,4,Black
151,1,23.99,1.116,0.847,0,0,0,ByBirth,80,0,5000,0,1,1,10,White
152,1,43.4,2.761,2.2,0,0,0,ByBirth,272,0,67,0,1,1,1,Latino
153,1,17.68,15.494,0.0,0,0,0,ByBirth,320,0,4426,0,1,1,7,Black
154,1,48.54,1.896,0.0,1,0,1,ByBirth,80,0,77,0,1,0,1,White
155,1,15.17,2.873,0.566,0,0,0,ByOtherMeans,120,0,1304,0,1,0,1,Black
156,0,24.36,1.729,0.0,0,0,1,ByOtherMeans,144,0,60,0,1,0,9,White
157,1,15.17,4.22,2.713,0,0,1,ByBirth,216,0,127,0,1,1,7,White
158,1,16.06,3.431,0.0,1,0,1,ByBirth,200,0,125,0,1,1,4,White
159,0,18.96,2.689,0.0,0,0,0,ByBirth,100,0,0,0,1,0,4,White
160,1,22.3,3.074,0.0,0,0,1,ByOtherMeans,460,0,1,0,1,1,4,White
161,1,39.76,3.574,0.0,0,0,1,ByBirth,160,0,50,0,1,1,9,Black
162,0,76.24,7.835,0.0,0,1,0,ByBirth,272,0,119,0,1,0,1,White
163,1,38.61,3.94,0.483,0,0,0,ByBirth,180,0,14,0,0,0,4,Latino
164,1,15.73,14.294,0.0,0,1,1,ByBirth,0,0,33,1,1,0,11,White
165,1,28.89,1.042,0.0,0,0,1,ByBirth,200,0,131,0,1,1,1,White
166,1,15.17,2.079,0.162,0,0,1,ByBirth,292,0,41,0,1,1,2,White
167,1,21.19,1.621,0.01,0,0,0,ByBirth,280,0,13,0,1,1,1,Black
168,1,26.43,2.063,1.618,0,1,0,ByBirth,280,0,0,3,0,1,4,White
169,1,15.17,4.08,0.947,0,1,1,ByBirth,120,0,1498,0,1,1,1,Other
170,0,30.4,16.022,0.258,0,1,1,ByBirth,136,0,81,0,1,1,9,White
171,1,39.0,1.151,0.402,0,1,1,ByBirth,160,0,0,0,1,1,6,Black
172,1,33.77,2.726,0.465,0,0,1,ByBirth,280,0,66,0,1,0,7,White
173,1,35.9,2.67,2.05,0,1,0,Temporary,276,0,37,0,1,1,0,Black
174,1,15.17,0.497,0.465,1,0,1,ByBirth,340,0,47,0,0,1,5,Latino
175,0,18.32,3.081,0.0,1,0,0,ByBirth,160,0,106,0,0,1,4,White
176,0,21.36,3.146,0.0,0,0,1,ByBirth,340,0,30,0,1,1,9,White
177,1,15.17,3.329,0.506,0,0,0,ByBirth,144,0,0,0,1,1,5,Black
178,0,15.17,2.987,0.303,0,1,0,ByBirth,80,0,0,0,1,1,7,White
179,1,36.68,2.421,0.0,0,1,1,ByOtherMeans,550,0,47,0,1,0,9,Asian
180,1,15.17,1.554,0.0,1,0,0,ByBirth,280,0,0,0,1,0,4,Latino
181,1,54.58,12.78,0.416,0,0,0,ByBirth,180,0,486,0,0,1,5,Latino
182,1,25.29,2.574,0.0,1,0,0,ByBirth,240,0,1817,0,1,1,9,White
183,1,15.17,4.353,2.198,1,0,1,ByBirth,420,0,79,0,1,1,5,Asian
184,1,27.17,2.406,11.715,0,0,0,ByBirth,288,0,0,0,1,1,5,Latino
185,1,23.4,1.731,0.0,1,0,1,ByBirth,280,0,144,0,0,1,8,Latino
186,1,46.98,1.544,1.487,0,1,0,ByBirth,380,0,374,0,0,1,7,Latino
187,0,25.54,10.417,0.0,0,0,1,ByBirth,2000,0,467,0,0,1,5,White
188,1,35.43,1.694,0.02,0,0,1,ByOtherMeans,0,0,94,0,1,1,6,White
189,1,15.17,2.882,0.553,1,0,0,ByBirth,0,0,638,0,1,1,2,Black
190,0,41.94,1.847,0.151,0,0,1,ByBirth,928,0,198,0,0,0,8,Black
191,1,17.32,0.966,0.448,1,0,0,ByBirth,480,0,144,0,0,1,2,White
192,1,16.52,1.375,0.0,0,0,0,ByBirth,340,0,41,2,0,1,4,Black
193,1,19.96,1.647,0.0,0,0,0,ByBirth,120,0,46,0,0,0,4,White
194,1,15.17,19.755,0.0,0,0,1,ByBirth,0,0,157,0,1,1,10,White
195,1,17.2,7.166,0.0,0,0,0,ByBirth,120,0,988,0,0,1,4,White
196,1,30.98,5.089,1.103,0,0,1,ByBirth,80,0,287,0,1,1,1,Black
197,1,32.12,15.495,0.987,1,1,0,ByBirth,108,0,0,0,1,0,11,Asian
198,0,39.1,4.306,0.541,0,0,1,ByOtherMeans,160,0,14,0,0,0,7,White
199,1,52.14,3.594,0.0,0,0,0,ByBirth,80,0,108,0,1,0,4,White
200,0,25.99,15.534,0.0,0,0,1,ByBirth,300,0,0,0,1,1,7,White
201,0,15.17,11.845,7.775,0,0,1,ByBirth,100,0,93,0,1,1,4,Asian
202,1,15.17,2.21,0.705,0,0,1,ByBirth,130,0,35,0,0,1,7,Other
203,1,15.17,3.243,0.109,0,0,0,ByBirth,221,0,563,0,0,0,7,Other
204,1,15.17,2.802,0.06,0,1,0,ByBirth,400,0,105,0,0,1,10,Black
205,1,42.88,1.482,0.554,0,0,1,ByBirth,144,0,0,0,1,1,1,Black
206,1,15.17,3.599,0.0,0,0,1,ByBirth,86,0,95,0,1,1,1,Asian
207,1,19.86,7.99,0.651,0,0,1,ByBirth,120,0,73,0,1,0,2,White
208,0,38.75,3.3,0.386,0,0,1,ByBirth,120,0,44,0,0,0,0,White
209,1,29.68,14.798,0.0,1,0,1,ByBirth,320,0,793,0,1,1,7,Latino
210,1,33.78,1.385,0.0,0,0,0,ByBirth,120,0,58,2,0,1,4,White
211,1,15.57,6.999,0.0,1,0,0,ByBirth,240,0,5000,1,1,1,4,White
212,0,16.17,0.994,0.626,1,1,0,ByBirth,128,0,0,0,1,1,3,Asian
213,1,26.44,4.298,2.229,0,0,1,ByBirth,200,0,66,0,0,1,6,Latino
214,1,45.18,0.0,2.25,1,0,1,ByBirth,352,0,138,0,0,0,10,White
215,1,20.29,2.362,0.0,0,0,1,ByBirth,132,0,494,0,1,1,5,White
216,1,25.52,0.95,1.415,1,0,1,ByBirth,80,0,0,2,0,1,4,White
217,1,20.78,4.052,0.272,0,0,0,ByBirth,120,0,98,0,1,1,6,Black
218,0,15.17,0.923,1.636,0,0,1,ByBirth,0,0,5000,0,0,1,7,White
219,1,23.17,3.793,0.39,0,0,1,ByBirth,120,0,99,0,0,1,8,White
220,1,32.91,2.819,0.243,0,1,0,ByOtherMeans,80,0,55,0,1,0,5,Asian
221,1,62.21,0.754,0.0,0,0,0,ByBirth,140,0,396,0,1,0,1,Latino
222,1,29.78,4.235,0.0,0,0,1,ByBirth,176,0,68,2,0,0,4,Black
223,0,42.94,12.067,0.053,0,1,0,ByOtherMeans,80,0,131,0,1,0,9,Latino
224,1,29.19,4.78,0.0,0,1,1,ByBirth,400,0,103,0,1,1,3,Black
225,0,19.61,2.702,0.595,1,0,0,ByBirth,160,0,881,0,0,0,6,White
226,1,24.59,1.593,0.0,0,0,1,ByBirth,360,0,109,0,1,1,4,Black
227,1,33.66,3.429,0.359,0,0,1,ByBirth,0,0,87,0,1,1,6,Other
228,1,29.44,1.707,0.298,0,0,1,ByBirth,0,0,59,3,1,1,5,White
229,0,15.17,4.107,0.0,0,0,0,ByBirth,240,0,104,3,1,1,6,White
230,1,29.35,14.221,0.056,1,0,1,ByBirth,454,0,0,0,1,0,0,White
231,1,15.17,2.052,0.134,0,0,0,ByBirth,360,0,135,0,0,1,8,Black
232,1,24.14,3.665,0.39,0,0,0,ByBirth,120,0,97,0,1,0,4,White
233,1,30.91,3.44,0.0,1,0,1,ByBirth,154,0,91,3,1,1,3,Black
234,1,36.33,2.599,0.459,0,0,1,ByOtherMeans,160,0,124,0,0,1,6,Black
235,1,40.51,1.727,0.0,1,0,1,ByBirth,360,0,20,0,0,1,4,White
236,1,20.33,2.402,0.703,1,0,1,ByBirth,150,0,493,0,1,1,2,Other
237,0,42.74,3.275,0.353,0,1,0,ByBirth,100,0,68,0,0,0,0,Asian
238,1,34.71,5.429,9.212,1,0,0,ByBirth,100,0,92,0,0,0,8,White
239,1,28.39,4.824,0.0,1,1,0,ByBirth,80,0,0,0,1,1,5,White
240,1,24.86,12.483,1.569,0,0,0,ByOtherMeans,160,0,0,0,1,0,8,White
241,1,15.17,3.206,2.432,0,1,1,ByBirth,100,0,10,3,0,1,6,Black
242,1,26.73,1.831,0.953,0,0,0,ByBirth,208,0,54,1,1,0,4,Latino
243,1,23.46,3.195,1.267,1,0,0,ByBirth,0,0,0,0,1,0,4,Black
244,1,15.17,0.768,0.0,0,0,1,ByBirth,160,0,3,0,1,1,1,Other
245,0,37.18,1.619,0.169,0,0,0,ByBirth,360,0,89,0,0,0,8,White
246,0,52.07,3.057,0.135,0,1,0,ByOtherMeans,272,0,68,0,1,1,1,White
247,0,36.75,2.498,0.171,1,0,1,ByBirth,380,0,545,0,1,0,6,Black
248,1,24.72,2.878,0.0,1,1,1,ByBirth,200,0,0,0,0,1,1,Latino
249,0,15.17,5.823,0.092,0,1,0,ByBirth,200,0,103,0,1,1,4,White
250,1,67.96,2.074,0.0,0,0,0,ByBirth,0,0,50,0,0,1,4,White
251,1,16.76,4.953,0.0,0,1,0,ByBirth,140,0,38,0,1,1,4,White
252,1,19.79,2.209,1.707,0,0,0,ByBirth,320,0,37,0,1,0,10,White
253,1,15.17,0.0,0.0,1,1,0,ByBirth,280,0,136,0,1,1,1,White
254,1,24.55,6.736,0.0,0,0,1,ByBirth,200,0,487,0,0,1,6,Black
255,1,15.17,1.928,0.0,0,1,0,ByOtherMeans,144,0,0,2,1,1,2,White
256,1,47.02,3.134,0.241,0,0,0,ByBirth,208,0,150,0,0,1,7,Asian
257,1,27.04,6.726,0.978,1,0,0,ByBirth,80,0,0,0,1,0,6,White
258,1,19.59,0.497,0.0,1,0,1,ByBirth,140,0,156,0,0,1,4,Asian
259,1,16.38,0.0,0.0,0,0,1,ByOtherMeans,140,0,55,0,1,1,1,White
260,1,26.09,0.719,0.0,0,1,1,ByOtherMeans,140,0,27,0,1,1,5,White
261,1,34.67,16.961,0.0,0,0,1,ByBirth,0,0,34,0,1,1,4,Asian
262,1,43.33,8.979,0.33,0,1,1,ByOtherMeans,80,0,68,0,0,1,4,White
263,1,28.43,12.714,1.563,0,0,0,ByBirth,0,0,68,0,1,1,5,Other
264,1,16.74,8.541,2.458,0,0,1,ByBirth,240,0,797,0,1,1,8,White
265,1,21.13,15.977,0.0,0,0,1,ByBirth,160,0,161,0,1,1,1,White
266,1,19.18,0.0,1.013,1,1,0,ByOtherMeans,280,0,594,0,1,1,4,White
267,1,67.46,1.739,3.194,0,1,1,ByOtherMeans,320,0,0,0,0,1,0,White
268,1,22.67,1.961,0.0,0,0,0,ByBirth,160,0,122,0,0,1,6,White
269,1,18.39,5.917,0.124,0,0,1,ByBirth,160,0,62,0,0,0,7,White
270,1,15.17,2.012,0.0,0,0,1,ByBirth,280,0,4317,0,1,0,6,White
271,1,15.17,2.896,0.847,0,1,1,ByBirth,120,0,91,0,1,1,1,Black
272,1,35.92,3.234,0.0,1,0,1,ByBirth,680,0,0,0,1,1,6,Asian
273,1,26.81,13.368,0.0,0,1,0,ByBirth,80,0,61,1,1,1,6,Black
274,1,23.11,3.633,0.0,0,0,0,ByBirth,240,0,34,0,1,1,1,White
275,1,47.44,3.53,4.947,0,0,0,ByOtherMeans,140,0,407,0,0,0,2,Asian
276,0,26.54,1.667,0.953,1,0,0,ByOtherMeans,136,0,124,0,1,0,8,Asian
277,1,21.36,1.793,0.89,0,0,0,ByOtherMeans,280,0,130,0,1,1,2,White
278,1,21.71,7.26,1.949,1,0,1,ByBirth,140,0,818,0,1,1,3,Latino
279,0,36.51,0.0,0.0,0,0,0,ByBirth,180,0,0,0,0,1,7,White
280,1,17.84,3.85,0.0,1,0,0,ByBirth,167,0,483,0,0,0,9,White
281,0,42.86,3.947,0.854,0,0,0,ByBirth,80,0,155,0,0,1,2,White
282,1,55.46,2.758,0.162,0,0,1,ByBirth,0,0,106,0,1,1,11,White
283,0,40.81,1.924,0.0,0,0,0,ByBirth,0,0,92,0,1,1,0,White
284,0,36.22,3.129,1.306,0,0,0,ByBirth,160,0,58,11,1,1,4,Black
285,1,15.17,4.173,0.584,0,0,0,ByBirth,73,0,128,0,1,0,9,White
286,1,31.83,3.432,0.0,0,0,0,ByBirth,100,0,57,0,1,0,4,White
287,1,29.0,2.961,0.922,0,0,0,ByBirth,2000,0,3931,0,0,0,7,White
288,1,70.98,2.971,0.0,0,0,1,ByBirth,340,0,27,0,1,1,4,Black
289,1,18.71,2.034,0.0,0,0,0,ByOtherMeans,280,0,77,0,1,1,4,White
290,1,19.5,2.243,0.0,0,0,1,ByBirth,140,0,5000,0,1,0,0,Latino
291,1,26.94,2.439,1.874,0,0,0,ByBirth,80,0,147,0,0,0,11,White
292,1,15.17,13.964,0.0,0,0,1,ByBirth,0,0,167,0,0,0,1,Asian
293,1,15.17,3.162,0.744,1,0,0,ByBirth,0,0,103,0,1,1,0,Latino
294,1,56.48,2.195,0.0,1,0,1,ByBirth,120,0,44,0,1,1,10,White
295,1,29.37,0.793,0.0,0,0,0,ByBirth,80,0,0,3,1,1,1,White
296,0,16.95,2.717,0.0,0,0,1,ByBirth,520,0,62,0,0,0,4,White
297,1,15.17,9.953,0.512,0,0,1,ByBirth,0,0,490,0,1,0,10,White
298,1,23.97,2.484,0.423,0,0,0,ByBirth,2000,0,251,0,1,1,1,Latino
299,0,16.41,5.041,0.255,0,0,1,ByBirth,280,0,0,2,1,1,3,White
300,1,33.29,1.918,0.169,0,0,0,ByBirth,120,0,0,0,0,1,6,Black
301,1,15.17,7.012,0.033,0,0,1,ByBirth,174,0,782,0,0,1,9,White
302,1,40.32,3.095,0.0,0,1,1,ByBirth,0,0,0,0,0,1,3,Black
303,1,34.21,6.77,0.0,0,0,0,ByBirth,380,0,1558,3,1,1,4,White
304,1,22.55,0.752,0.0,0,0,1,Temporary,120,0,115,0,1,1,1,Latino
305,0,73.42,8.392,0.0,0,0,0,ByOtherMeans,720,0,113,12,0,1,4,Latino
